vial,cross,female line,male line,food,month crossed,cross number,number weighed,weight
878,11016 x 11017,11016,11017,(N) Normal,12/11,1,3,3.68
878,11016 x 11017,11016,11017,(N) Normal,12/11,1,3,4.28
878,11016 x 11017,11016,11017,(N) Normal,12/11,1,3,3.63
878,11016 x 11017,11016,11017,(N) Normal,12/11,1,1,1.45
806,11009 x 11010,11009,11010,(N) Normal,12/11,1,3,3.53
806,11009 x 11010,11009,11010,(N) Normal,12/11,1,3,3.76
806,11009 x 11010,11009,11010,(N) Normal,12/11,1,3,3.7
806,11009 x 11010,11009,11010,(N) Normal,12/11,1,3,4.15
806,11009 x 11010,11009,11010,(N) Normal,12/11,1,3,4.05
806,11009 x 11010,11009,11010,(N) Normal,12/11,1,3,4.45
806,11009 x 11010,11009,11010,(N) Normal,12/11,1,1,1.45
806,11009 x 11010,11009,11010,(N) Normal,12/11,1,3,3.46
806,11009 x 11010,11009,11010,(N) Normal,12/11,1,3,3.76
806,11009 x 11010,11009,11010,(N) Normal,12/11,1,3,2.65
806,11009 x 11010,11009,11010,(N) Normal,12/11,1,3,3.23
806,11009 x 11010,11009,11010,(N) Normal,12/11,1,3,2.67
805,11009 x 11010,11009,11010,(F) Fat,12/11,1,3,3.18
805,11009 x 11010,11009,11010,(F) Fat,12/11,1,3,3.41
805,11009 x 11010,11009,11010,(F) Fat,12/11,1,3,3.23
805,11009 x 11010,11009,11010,(F) Fat,12/11,1,3,4.08
805,11009 x 11010,11009,11010,(F) Fat,12/11,1,3,3.79
805,11009 x 11010,11009,11010,(F) Fat,12/11,1,3,3.17
805,11009 x 11010,11009,11010,(F) Fat,12/11,1,3,3.42
805,11009 x 11010,11009,11010,(F) Fat,12/11,1,3,3.83
805,11009 x 11010,11009,11010,(F) Fat,12/11,1,3,3.06
805,11009 x 11010,11009,11010,(F) Fat,12/11,1,2,2.27
805,11009 x 11010,11009,11010,(F) Fat,12/11,1,3,3.67
805,11009 x 11010,11009,11010,(F) Fat,12/11,1,3,3.7
805,11009 x 11010,11009,11010,(F) Fat,12/11,1,1,0.79
19963,11017 x 11018,11017,11018,(F) Fat,1/13,50,3,3.49
19963,11017 x 11018,11017,11018,(F) Fat,1/13,50,3,3.9
19963,11017 x 11018,11017,11018,(F) Fat,1/13,50,3,3.55
19963,11017 x 11018,11017,11018,(F) Fat,1/13,50,3,2.89
19963,11017 x 11018,11017,11018,(F) Fat,1/13,50,3,3.23
19956,11017 x 11018,11017,11018,(N) Normal,1/13,50,3,3.55
19956,11017 x 11018,11017,11018,(N) Normal,1/13,50,3,3.49
19956,11017 x 11018,11017,11018,(N) Normal,1/13,50,3,3.61
19956,11017 x 11018,11017,11018,(N) Normal,1/13,50,3,3.67
19956,11017 x 11018,11017,11018,(N) Normal,1/13,50,3,4.51
19956,11017 x 11018,11017,11018,(N) Normal,1/13,50,1,1.5
19949,11010 x 11020,11010,11020,(F) Fat,1/12,50,3,4
19949,11010 x 11020,11010,11020,(F) Fat,1/12,50,3,3.33
19949,11010 x 11020,11010,11020,(F) Fat,1/12,50,3,3.93
19949,11010 x 11020,11010,11020,(F) Fat,1/12,50,3,3.22
19949,11010 x 11020,11010,11020,(F) Fat,1/12,50,1,1.19
19942,11010 x 11020,11010,11020,(N) Normal,1/12,50,3,2.62
19942,11010 x 11020,11010,11020,(N) Normal,1/12,50,3,3.51
19942,11010 x 11020,11010,11020,(N) Normal,1/12,50,3,3.1
19942,11010 x 11020,11010,11020,(N) Normal,1/12,50,3,3.09
19942,11010 x 11020,11010,11020,(N) Normal,1/12,50,3,3.11
19942,11010 x 11020,11010,11020,(N) Normal,1/12,50,3,3.05
19942,11010 x 11020,11010,11020,(N) Normal,1/12,50,2,2.1
19921,11019 x 11012,11019,11012,(F) Fat,1/13,50,3,3.71
19921,11019 x 11012,11019,11012,(F) Fat,1/13,50,3,3.95
19921,11019 x 11012,11019,11012,(F) Fat,1/13,50,3,3.68
19921,11019 x 11012,11019,11012,(F) Fat,1/13,50,3,3.75
19921,11019 x 11012,11019,11012,(F) Fat,1/13,50,3,3.74
19921,11019 x 11012,11019,11012,(F) Fat,1/13,50,3,3.84
19921,11019 x 11012,11019,11012,(F) Fat,1/13,50,3,4.18
19921,11019 x 11012,11019,11012,(F) Fat,1/13,50,2,3.09
19914,11019 x 11012,11019,11012,(N) Normal,1/13,50,3,4.14
19914,11019 x 11012,11019,11012,(N) Normal,1/13,50,3,4.47
19914,11019 x 11012,11019,11012,(N) Normal,1/13,50,3,4.25
19914,11019 x 11012,11019,11012,(N) Normal,1/13,50,3,4.53
19914,11019 x 11012,11019,11012,(N) Normal,1/13,50,3,4.22
19914,11019 x 11012,11019,11012,(N) Normal,1/13,50,3,4.17
19914,11019 x 11012,11019,11012,(N) Normal,1/13,50,3,3.74
19914,11019 x 11012,11019,11012,(N) Normal,1/13,50,3,3.9
19914,11019 x 11012,11019,11012,(N) Normal,1/13,50,3,3.79
19914,11019 x 11012,11019,11012,(N) Normal,1/13,50,1,1.25
19907,11015 x 11016,11015,11016,(F) Fat,1/13,50,3,2.93
19907,11015 x 11016,11015,11016,(F) Fat,1/13,50,3,3.61
19907,11015 x 11016,11015,11016,(F) Fat,1/13,50,3,3.02
19907,11015 x 11016,11015,11016,(F) Fat,1/13,50,3,3.41
19907,11015 x 11016,11015,11016,(F) Fat,1/13,50,3,3.52
19907,11015 x 11016,11015,11016,(F) Fat,1/13,50,3,3.75
19907,11015 x 11016,11015,11016,(F) Fat,1/13,50,3,3.92
19907,11015 x 11016,11015,11016,(F) Fat,1/13,50,2,2.28
19900,11015 x 11016,11015,11016,(N) Normal,1/13,50,3,2.91
19900,11015 x 11016,11015,11016,(N) Normal,1/13,50,3,3.52
19900,11015 x 11016,11015,11016,(N) Normal,1/13,50,3,3.17
19900,11015 x 11016,11015,11016,(N) Normal,1/13,50,3,3.72
19900,11015 x 11016,11015,11016,(N) Normal,1/13,50,3,3.64
19900,11015 x 11016,11015,11016,(N) Normal,1/13,50,3,3.71
19900,11015 x 11016,11015,11016,(N) Normal,1/13,50,3,3.54
19900,11015 x 11016,11015,11016,(N) Normal,1/13,50,3,3.71
19900,11015 x 11016,11015,11016,(N) Normal,1/13,50,3,4.08
19900,11015 x 11016,11015,11016,(N) Normal,1/13,50,3,3.39
19893,11013 x 11014,11013,11014,(F) Fat,1/13,50,3,3.17
19893,11013 x 11014,11013,11014,(F) Fat,1/13,50,3,2.73
19893,11013 x 11014,11013,11014,(F) Fat,1/13,50,3,3.34
19893,11013 x 11014,11013,11014,(F) Fat,1/13,50,2,2.13
19893,11013 x 11014,11013,11014,(F) Fat,1/13,50,3,2.98
19893,11013 x 11014,11013,11014,(F) Fat,1/13,50,3,2.81
19893,11013 x 11014,11013,11014,(F) Fat,1/13,50,3,3.04
19893,11013 x 11014,11013,11014,(F) Fat,1/13,50,3,2.93
19893,11013 x 11014,11013,11014,(F) Fat,1/13,50,2,1.99
19886,11013 x 11014,11013,11014,(N) Normal,1/13,50,3,3.03
19886,11013 x 11014,11013,11014,(N) Normal,1/13,50,3,2.55
19886,11013 x 11014,11013,11014,(N) Normal,1/13,50,3,2.9
19886,11013 x 11014,11013,11014,(N) Normal,1/13,50,3,3.56
19886,11013 x 11014,11013,11014,(N) Normal,1/13,50,3,2.94
19886,11013 x 11014,11013,11014,(N) Normal,1/13,50,3,3.28
19886,11013 x 11014,11013,11014,(N) Normal,1/13,50,3,2.95
19886,11013 x 11014,11013,11014,(N) Normal,1/13,50,3,3.31
19886,11013 x 11014,11013,11014,(N) Normal,1/13,50,3,3.19
19886,11013 x 11014,11013,11014,(N) Normal,1/13,50,3,3.22
19865,11014 x 11015,11014,11015,(F) Fat,1/13,50,3,3.47
19865,11014 x 11015,11014,11015,(F) Fat,1/13,50,3,2.92
19865,11014 x 11015,11014,11015,(F) Fat,1/13,50,3,3.42
19865,11014 x 11015,11014,11015,(F) Fat,1/13,50,3,4.25
19865,11014 x 11015,11014,11015,(F) Fat,1/13,50,3,4.08
19865,11014 x 11015,11014,11015,(F) Fat,1/13,50,3,3.84
19865,11014 x 11015,11014,11015,(F) Fat,1/13,50,2,2.93
19858,11014 x 11015,11014,11015,(N) Normal,1/13,50,3,4.39
19858,11014 x 11015,11014,11015,(N) Normal,1/13,50,3,4.71
19858,11014 x 11015,11014,11015,(N) Normal,1/13,50,3,4.26
19858,11014 x 11015,11014,11015,(N) Normal,1/13,50,1,1.46
19823,11010 x 11008,11010,11008,(F) Fat,1/12,50,3,3.57
19823,11010 x 11008,11010,11008,(F) Fat,1/12,50,3,3.65
19823,11010 x 11008,11010,11008,(F) Fat,1/12,50,3,2.97
19823,11010 x 11008,11010,11008,(F) Fat,1/12,50,1,1.22
19816,11010 x 11008,11010,11008,(N) Normal,1/12,50,3,3.81
19816,11010 x 11008,11010,11008,(N) Normal,1/12,50,3,4.11
19816,11010 x 11008,11010,11008,(N) Normal,1/12,50,3,3.41
19816,11010 x 11008,11010,11008,(N) Normal,1/12,50,3,3.82
19816,11010 x 11008,11010,11008,(N) Normal,1/12,50,1,1.27
19809,11012 x 11013,11012,11013,(F) Fat,1/13,50,3,3.53
19809,11012 x 11013,11012,11013,(F) Fat,1/13,50,3,4.15
19809,11012 x 11013,11012,11013,(F) Fat,1/13,50,3,3.9
19809,11012 x 11013,11012,11013,(F) Fat,1/13,50,3,3.26
19809,11012 x 11013,11012,11013,(F) Fat,1/13,50,3,3.78
19802,11012 x 11013,11012,11013,(N) Normal,1/13,50,3,3.82
19802,11012 x 11013,11012,11013,(N) Normal,1/13,50,3,3.4
19802,11012 x 11013,11012,11013,(N) Normal,1/13,50,1,1.04
19802,11012 x 11013,11012,11013,(N) Normal,1/13,50,3,3.58
19802,11012 x 11013,11012,11013,(N) Normal,1/13,50,3,3.13
19802,11012 x 11013,11012,11013,(N) Normal,1/13,50,3,3.46
19795,11018 x 11019,11018,11019,(F) Fat,1/13,50,3,3.76
19795,11018 x 11019,11018,11019,(F) Fat,1/13,50,3,3.79
19795,11018 x 11019,11018,11019,(F) Fat,1/13,50,3,4.26
19795,11018 x 11019,11018,11019,(F) Fat,1/13,50,3,4.2
19795,11018 x 11019,11018,11019,(F) Fat,1/13,50,3,4.05
19795,11018 x 11019,11018,11019,(F) Fat,1/13,50,3,3.79
19795,11018 x 11019,11018,11019,(F) Fat,1/13,50,3,3.57
19795,11018 x 11019,11018,11019,(F) Fat,1/13,50,3,3.82
19795,11018 x 11019,11018,11019,(F) Fat,1/13,50,2,2.53
19788,11018 x 11019,11018,11019,(N) Normal,1/13,50,3,4.08
19788,11018 x 11019,11018,11019,(N) Normal,1/13,50,3,4.62
19788,11018 x 11019,11018,11019,(N) Normal,1/13,50,3,4.42
19788,11018 x 11019,11018,11019,(N) Normal,1/13,50,2,2.7
19788,11018 x 11019,11018,11019,(N) Normal,1/13,50,3,3.65
19788,11018 x 11019,11018,11019,(N) Normal,1/13,50,3,4.23
19788,11018 x 11019,11018,11019,(N) Normal,1/13,50,3,3.66
19788,11018 x 11019,11018,11019,(N) Normal,1/13,50,1,1.4
19767,11020 x 11013,11020,11013,(F) Fat,1/13,50,3,3
19767,11020 x 11013,11020,11013,(F) Fat,1/13,50,3,3.76
19767,11020 x 11013,11020,11013,(F) Fat,1/13,50,2,2.47
19767,11020 x 11013,11020,11013,(F) Fat,1/13,50,3,3.94
19767,11020 x 11013,11020,11013,(F) Fat,1/13,50,3,3.75
19767,11020 x 11013,11020,11013,(F) Fat,1/13,50,3,3.54
19767,11020 x 11013,11020,11013,(F) Fat,1/13,50,1,1.17
19760,11020 x 11013,11020,11013,(N) Normal,1/13,50,3,3.6
19760,11020 x 11013,11020,11013,(N) Normal,1/13,50,3,3.35
19760,11020 x 11013,11020,11013,(N) Normal,1/13,50,3,3.71
19760,11020 x 11013,11020,11013,(N) Normal,1/13,50,2,2.39
19760,11020 x 11013,11020,11013,(N) Normal,1/13,50,3,3.49
19760,11020 x 11013,11020,11013,(N) Normal,1/13,50,3,3.57
19760,11020 x 11013,11020,11013,(N) Normal,1/13,50,3,2.78
19760,11020 x 11013,11020,11013,(N) Normal,1/13,50,2,2.44
19739,11013 x 11021,11013,11021,(F) Fat,1/13,50,3,3.08
19739,11013 x 11021,11013,11021,(F) Fat,1/13,50,3,3.32
19739,11013 x 11021,11013,11021,(F) Fat,1/13,50,3,2.98
19739,11013 x 11021,11013,11021,(F) Fat,1/13,50,3,3.61
19739,11013 x 11021,11013,11021,(F) Fat,1/13,50,3,2.57
19739,11013 x 11021,11013,11021,(F) Fat,1/13,50,3,3.4
19732,11013 x 11021,11013,11021,(N) Normal,1/13,50,2,2.83
19732,11013 x 11021,11013,11021,(N) Normal,1/13,50,3,3.85
19732,11013 x 11021,11013,11021,(N) Normal,1/13,50,1,1.22
19697,11006 x 11007,11006,11007,(F) Fat,12/11,49,3,4.28
19697,11006 x 11007,11006,11007,(F) Fat,12/11,49,3,4.5
19697,11006 x 11007,11006,11007,(F) Fat,12/11,49,3,4.57
19697,11006 x 11007,11006,11007,(F) Fat,12/11,49,3,4.75
19697,11006 x 11007,11006,11007,(F) Fat,12/11,49,3,3.87
19697,11006 x 11007,11006,11007,(F) Fat,12/11,49,3,3.6
19697,11006 x 11007,11006,11007,(F) Fat,12/11,49,3,3.82
19697,11006 x 11007,11006,11007,(F) Fat,12/11,49,3,3.62
19697,11006 x 11007,11006,11007,(F) Fat,12/11,49,3,3.54
19697,11006 x 11007,11006,11007,(F) Fat,12/11,49,3,3.9
19690,11006 x 11007,11006,11007,(N) Normal,12/11,49,3,4.07
19690,11006 x 11007,11006,11007,(N) Normal,12/11,49,3,4.61
19690,11006 x 11007,11006,11007,(N) Normal,12/11,49,3,4.63
19690,11006 x 11007,11006,11007,(N) Normal,12/11,49,2,2.85
19690,11006 x 11007,11006,11007,(N) Normal,12/11,49,3,4.28
19690,11006 x 11007,11006,11007,(N) Normal,12/11,49,3,4.53
19690,11006 x 11007,11006,11007,(N) Normal,12/11,49,3,4.26
19690,11006 x 11007,11006,11007,(N) Normal,12/11,49,2,2.82
19683,11003 x 11005,11003,11005,(F) Fat,12/11,49,3,4.08
19683,11003 x 11005,11003,11005,(F) Fat,12/11,49,3,3.44
19683,11003 x 11005,11003,11005,(F) Fat,12/11,49,3,3.81
19683,11003 x 11005,11003,11005,(F) Fat,12/11,49,3,3.53
19683,11003 x 11005,11003,11005,(F) Fat,12/11,49,3,3.58
19683,11003 x 11005,11003,11005,(F) Fat,12/11,49,2,2.6
19676,11003 x 11005,11003,11005,(N) Normal,12/11,49,3,3.67
19676,11003 x 11005,11003,11005,(N) Normal,12/11,49,3,3.7
19676,11003 x 11005,11003,11005,(N) Normal,12/11,49,3,3.67
19676,11003 x 11005,11003,11005,(N) Normal,12/11,49,3,3.57
19676,11003 x 11005,11003,11005,(N) Normal,12/11,49,3,3.49
19676,11003 x 11005,11003,11005,(N) Normal,12/11,49,3,3.59
19676,11003 x 11005,11003,11005,(N) Normal,12/11,49,3,3.91
19676,11003 x 11005,11003,11005,(N) Normal,12/11,49,3,4.03
19676,11003 x 11005,11003,11005,(N) Normal,12/11,49,2,2.58
19669,11005 x 11006,11005,11006,(F) Fat,12/11,49,3,3.92
19669,11005 x 11006,11005,11006,(F) Fat,12/11,49,3,4.93
19669,11005 x 11006,11005,11006,(F) Fat,12/11,49,3,4.16
19669,11005 x 11006,11005,11006,(F) Fat,12/11,49,3,4.4
19669,11005 x 11006,11005,11006,(F) Fat,12/11,49,2,2.96
19662,11005 x 11006,11005,11006,(N) Normal,12/11,49,3,3.19
19662,11005 x 11006,11005,11006,(N) Normal,12/11,49,3,3.04
19662,11005 x 11006,11005,11006,(N) Normal,12/11,49,3,3.09
19662,11005 x 11006,11005,11006,(N) Normal,12/11,49,3,3.51
19662,11005 x 11006,11005,11006,(N) Normal,12/11,49,3,2.92
19662,11005 x 11006,11005,11006,(N) Normal,12/11,49,3,3.76
19662,11005 x 11006,11005,11006,(N) Normal,12/11,49,3,4.31
19662,11005 x 11006,11005,11006,(N) Normal,12/11,49,3,3.63
19662,11005 x 11006,11005,11006,(N) Normal,12/11,49,1,1.14
19655,11008 x 11009,11008,11009,(F) Fat,12/11,49,3,4.1
19655,11008 x 11009,11008,11009,(F) Fat,12/11,49,3,3.08
19655,11008 x 11009,11008,11009,(F) Fat,12/11,49,3,3.93
19655,11008 x 11009,11008,11009,(F) Fat,12/11,49,3,3.81
19655,11008 x 11009,11008,11009,(F) Fat,12/11,49,3,4.1
19655,11008 x 11009,11008,11009,(F) Fat,12/11,49,3,3.85
19655,11008 x 11009,11008,11009,(F) Fat,12/11,49,3,3.88
19655,11008 x 11009,11008,11009,(F) Fat,12/11,49,3,3.78
19655,11008 x 11009,11008,11009,(F) Fat,12/11,49,3,4.12
19655,11008 x 11009,11008,11009,(F) Fat,12/11,49,3,3.69
19648,11008 x 11009,11008,11009,(N) Normal,12/11,49,3,3.8
19648,11008 x 11009,11008,11009,(N) Normal,12/11,49,3,4.06
19648,11008 x 11009,11008,11009,(N) Normal,12/11,49,3,4.03
19648,11008 x 11009,11008,11009,(N) Normal,12/11,49,3,4.04
19648,11008 x 11009,11008,11009,(N) Normal,12/11,49,3,3.86
19641,11002 x 11003,11002,11003,(F) Fat,12/11,49,3,3.49
19641,11002 x 11003,11002,11003,(F) Fat,12/11,49,3,4.08
19641,11002 x 11003,11002,11003,(F) Fat,12/11,49,3,3.75
19641,11002 x 11003,11002,11003,(F) Fat,12/11,49,3,4.01
19641,11002 x 11003,11002,11003,(F) Fat,12/11,49,3,4.12
19641,11002 x 11003,11002,11003,(F) Fat,12/11,49,3,4
19641,11002 x 11003,11002,11003,(F) Fat,12/11,49,3,4.38
19641,11002 x 11003,11002,11003,(F) Fat,12/11,49,3,3.54
19641,11002 x 11003,11002,11003,(F) Fat,12/11,49,3,3.63
19634,11002 x 11003,11002,11003,(N) Normal,12/11,49,3,3.57
19634,11002 x 11003,11002,11003,(N) Normal,12/11,49,3,4.01
19634,11002 x 11003,11002,11003,(N) Normal,12/11,49,3,3.47
19634,11002 x 11003,11002,11003,(N) Normal,12/11,49,3,3.9
19634,11002 x 11003,11002,11003,(N) Normal,12/11,49,3,4.01
19634,11002 x 11003,11002,11003,(N) Normal,12/11,49,3,3.7
19634,11002 x 11003,11002,11003,(N) Normal,12/11,49,3,3.87
19634,11002 x 11003,11002,11003,(N) Normal,12/11,49,3,3.82
19634,11002 x 11003,11002,11003,(N) Normal,12/11,49,3,3.34
19634,11002 x 11003,11002,11003,(N) Normal,12/11,49,3,3.56
19627,11010 x 11002,11010,11002,(F) Fat,12/11,49,3,4.1
19627,11010 x 11002,11010,11002,(F) Fat,12/11,49,3,4.97
19627,11010 x 11002,11010,11002,(F) Fat,12/11,49,3,4.76
19627,11010 x 11002,11010,11002,(F) Fat,12/11,49,3,4.5
19627,11010 x 11002,11010,11002,(F) Fat,12/11,49,3,4.2
19627,11010 x 11002,11010,11002,(F) Fat,12/11,49,3,4.53
19627,11010 x 11002,11010,11002,(F) Fat,12/11,49,3,4.62
19627,11010 x 11002,11010,11002,(F) Fat,12/11,49,3,4.39
19627,11010 x 11002,11010,11002,(F) Fat,12/11,49,2,3.15
19620,11010 x 11002,11010,11002,(N) Normal,12/11,49,3,3.88
19620,11010 x 11002,11010,11002,(N) Normal,12/11,49,3,4.19
19620,11010 x 11002,11010,11002,(N) Normal,12/11,49,3,3.73
19620,11010 x 11002,11010,11002,(N) Normal,12/11,49,3,4.39
19620,11010 x 11002,11010,11002,(N) Normal,12/11,49,3,4.33
19620,11010 x 11002,11010,11002,(N) Normal,12/11,49,3,3.96
19620,11010 x 11002,11010,11002,(N) Normal,12/11,49,3,3.56
19620,11010 x 11002,11010,11002,(N) Normal,12/11,49,3,3.92
19620,11010 x 11002,11010,11002,(N) Normal,12/11,49,3,4.11
14867,11084 x 11098,11084,11098,(F) Fat,07/12,27,,
9996,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.14
9996,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.2
9996,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.18
9996,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.22
9996,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.2
9996,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.38
9996,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.36
9996,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.51
9996,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.35
9996,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.26
9995,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.01
9995,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.08
9995,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.3
9995,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.14
9995,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.4
9995,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.18
9995,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.21
9995,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.25
9995,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,1.05
9995,11198 x 11199,11198,11199,(F) Fat,04/12,12,1,0.81
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.16
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.22
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,0.98
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.08
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,0.63
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.13
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,0.99
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.08
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.17
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.02
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,0.64
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.18
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,0.35
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.04
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.07
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,0.98
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,0.34
9942,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,0.89
9940,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,0.74
9940,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1
9940,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.13
9940,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,0.77
9940,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,0.67
9940,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.17
9940,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.42
9940,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.24
9940,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.37
9940,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.14
9939,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.59
9939,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.35
9939,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.39
9939,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.36
9939,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,0.97
9939,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,1.2
9939,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,0.84
9939,11194 x 11195,11194,11195,(F) Fat,04/12,12,1,0.92
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.76
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.82
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.54
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.11
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.65
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.97
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.76
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.07
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.8
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.01
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.9
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.96
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.08
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.17
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.23
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.86
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.96
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.17
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.03
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.7
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.78
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.23
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.02
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.68
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.93
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.02
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.8
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.75
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.88
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.86
9933,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,0.95
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.52
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.31
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.19
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.29
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.2
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.2
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.14
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.05
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.01
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.23
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.26
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.39
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.05
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.37
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.46
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.12
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.28
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.11
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.3
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.3
9932,11194 x 11195,11194,11195,(N) Normal,04/12,12,1,1.24
